date,puzzle_date,day,month,puzzle_number,difficulty_score,max_score
9/1/2024,9/2/2024,Monday,9,449,2.8,5
9/2/2024,9/3/2024,Tuesday,9,450,3.1,5
9/3/2024,9/4/2024,Wednesday,9,451,2.7,5
9/4/2024,9/5/2024,Thursday,9,452,3.1,5
9/5/2024,9/6/2024,Friday,9,453,2.9,5
9/6/2024,9/7/2024,Saturday,9,454,3.4,5
9/7/2024,9/8/2024,Sunday,9,455,3.3,5
9/8/2024,9/9/2024,Monday,9,456,3.3,5
9/9/2024,9/10/2024,Tuesday,9,457,3.3,5
9/10/2024,9/11/2024,Wednesday,9,458,4,5
9/11/2024,9/12/2024,Thursday,9,459,3.2,5
9/12/2024,9/13/2024,Friday,9,460,3.7,5
9/13/2024,9/14/2024,Saturday,9,461,3.4,5
9/14/2024,9/15/2024,Sunday,9,462,2.9,5
9/15/2024,9/16/2024,Monday,9,463,3.2,5
9/16/2024,9/17/2024,Tuesday,9,464,2.8,5
9/17/2024,9/18/2024,Wednesday,9,465,3.2,5
9/18/2024,9/19/2024,Thursday,9,466,3.3,5
9/19/2024,9/20/2024,Friday,9,467,2.9,5
9/20/2024,9/21/2024,Saturday,9,468,2.2,5
9/21/2024,9/22/2024,Sunday,9,469,2.8,5
9/22/2024,9/23/2024,Monday,9,470,3.3,5
9/23/2024,9/24/2024,Tuesday,9,471,3,5
9/24/2024,9/25/2024,Wednesday,9,472,3,5
9/25/2024,9/26/2024,Thursday,9,473,2.6,5
9/26/2024,9/27/2024,Friday,9,474,3.6,5
9/27/2024,9/28/2024,Saturday,9,475,4.2,5
9/28/2024,9/29/2024,Sunday,9,476,4.5,5
9/29/2024,9/30/2024,Monday,9,477,3.7,5
9/30/2024,10/1/2024,Tuesday,10,478,3.6,5
10/1/2024,10/2/2024,Wednesday,10,479,2.8,5
10/2/2024,10/3/2024,Thursday,10,480,3.7,5
10/3/2024,10/4/2024,Friday,10,481,2.3,5
10/4/2024,10/5/2024,Saturday,10,482,3.2,5
10/5/2024,10/6/2024,Sunday,10,483,2.3,5
10/6/2024,10/7/2024,Monday,10,484,3.2,5
10/7/2024,10/8/2024,Tuesday,10,485,3,5
10/8/2024,10/9/2024,Wednesday,10,486,3.3,5
10/9/2024,10/10/2024,Thursday,10,487,3.4,5
10/10/2024,10/11/2024,Friday,10,488,2.4,5
10/11/2024,10/12/2024,Saturday,10,489,2.4,5
10/12/2024,10/13/2024,Sunday,10,490,3,5
10/13/2024,10/14/2024,Monday,10,491,3.5,5
10/14/2024,10/15/2024,Tuesday,10,492,3.5,5
10/15/2024,10/16/2024,Wednesday,10,493,3,5
10/16/2024,10/17/2024,Thursday,10,494,3.3,5
10/17/2024,10/18/2024,Friday,10,495,2.8,5
10/18/2024,10/19/2024,Saturday,10,496,2.5,5
10/19/2024,10/20/2024,Sunday,10,497,2,5
10/20/2024,10/21/2024,Monday,10,498,1.8,5
10/21/2024,10/22/2024,Tuesday,10,499,2.5,5
10/22/2024,10/23/2024,Wednesday,10,500,2.8,5
10/23/2024,10/24/2024,Thursday,10,501,3.5,5
10/24/2024,10/25/2024,Friday,10,502,3.2,5
10/25/2024,10/26/2024,Saturday,10,503,2.3,5
10/26/2024,10/27/2024,Sunday,10,504,3.3,5
10/27/2024,10/28/2024,Monday,10,505,2.3,5
10/28/2024,10/29/2024,Tuesday,10,506,3.8,5
10/29/2024,10/30/2024,Wednesday,10,507,3.1,5
10/30/2024,10/31/2024,Thursday,10,508,3.3,5
10/31/2024,11/1/2024,Friday,11,509,2.6,5
11/1/2024,11/2/2024,Saturday,11,510,3,5
11/2/2024,11/3/2024,Sunday,11,511,2.2,5
11/3/2024,11/4/2024,Monday,11,512,2.8,5
11/4/2024,11/5/2024,Tuesday,11,513,3,5
11/5/2024,11/6/2024,Wednesday,11,514,2.4,5
11/6/2024,11/7/2024,Thursday,11,515,3.6,5
11/7/2024,11/8/2024,Friday,11,516,2.8,5
11/8/2024,11/9/2024,Saturday,11,517,2,5
11/9/2024,11/10/2024,Sunday,11,518,3,5
11/10/2024,11/11/2024,Monday,11,519,2.8,5
11/11/2024,11/12/2024,Tuesday,11,520,3,5
11/12/2024,11/13/2024,Wednesday,11,521,3.2,5
11/13/2024,11/14/2024,Thursday,11,522,2.6,5
11/14/2024,11/15/2024,Friday,11,523,3,5
11/15/2024,11/16/2024,Saturday,11,524,2.8,5
11/16/2024,11/17/2024,Sunday,11,525,3.3,5
11/17/2024,11/18/2024,Monday,11,526,2.3,5
11/18/2024,11/19/2024,Tuesday,11,527,3.7,5
11/19/2024,11/20/2024,Wednesday,11,528,2.8,5
11/20/2024,11/21/2024,Thursday,11,529,3.3,5
11/21/2024,11/22/2024,Friday,11,530,2.8,5
11/22/2024,11/23/2024,Saturday,11,531,3,5
11/23/2024,11/24/2024,Sunday,11,532,3,5
11/24/2024,11/25/2024,Monday,11,533,3,5
11/25/2024,11/26/2024,Tuesday,11,534,2.3,5
11/26/2024,11/27/2024,Wednesday,11,535,2.7,5
11/27/2024,11/28/2024,Thursday,11,536,2.3,5
11/28/2024,11/29/2024,Friday,11,537,3.3,5
11/29/2024,11/30/2024,Saturday,11,538,3,5
11/30/2024,12/1/2024,Sunday,12,539,3,5
